file,TEXT,IMAGES,TABLES/DESIGN,EQUALITY TO PDF,COLORS,DONE,LAST_UPDATE_TS
ephesians/modulo-1/sessao-1.html,OK,OK,OK,OK,OK,YES,2026-08-17T22:54:11
ephesians/modulo-7/sessao-19.html,OK,OK,OK,OK,OK,YES,2026-08-17T22:54:11
ephesians/modulo-7/sessao-20.html,OK,OK,OK,OK,OK,YES,2026-08-17T22:54:11
ephesians/modulo-7/sessao-21.html,OK,OK,OK,OK,OK,YES,2026-08-17T22:54:11
ephesians/modulo-9/sessao-24.html,OK,OK,OK,OK,OK,YES,2026-08-17T22:54:11
ephesians/modulo-9/sessao-25.html,OK,OK,OK,OK,OK,YES,2026-08-17T22:54:11
ephesians/modulo-9/sessao-26.html,OK,OK,OK,OK,OK,YES,2026-08-17T22:54:11
ephesians/modulo-9/sessao-27.html,OK,OK,OK,OK,OK,YES,2026-08-17T22:54:11
exodus-overview/modulo-2/sessao-12.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-2/sessao-9.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-2/sessao-8.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-2/sessao-13.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-2/sessao-14.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-2/sessao-7.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-2/sessao-10.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-2/sessao-11.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-5/sessao-29.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-5/sessao-30.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-4/sessao-28.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-4/sessao-24.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-4/sessao-25.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-4/sessao-23.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-4/sessao-26.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-4/sessao-27.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-3/sessao-18.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-3/sessao-22.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-3/sessao-15.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-3/sessao-19.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-3/sessao-20.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-3/sessao-16.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-3/sessao-17.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-3/sessao-21.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
exodus-overview/modulo-1/sessao-5.html,OK,OK,OK,OK,OK,YES,2026-08-18T01:10:00
